id,title,count
13101,千代田区,320
13102,中央区,596
13103,港区,1
13104,新宿区,2
13105,文京区,1
13106,台東区,785
13107,墨田区,678
13108,江東区,1
13109,品川区,1
13110,目黒区,1
13111,大田区,3
13112,世田谷区,4
13113,渋谷区,1
13114,中野区,2
13115,杉並区,2
13116,豊島区,1
13117,北区,1
13118,荒川区,647
13119,板橋区,3
13120,練馬区,2
13121,足立区,1
13122,葛飾区,1
13123,江戸川区,1
13201,八王子市,1
13202,立川市,700
13203,武蔵野市,674
13204,三鷹市,841
13205,青梅市,308
13206,府中市,1
13207,昭島市,335
13208,調布市,887
13209,町田市,1
13210,小金井市,474
13211,小平市,509
13212,日野市,853
13213,東村山市,424
13214,国分寺市,536
13215,国立市,392
13218,福生市,205
13219,狛江市,334
13220,東大和市,324
13221,清瀬市,203
13222,東久留米市,316
13223,武蔵村山市,252
13224,多摩市,365
13225,稲城市,272
13227,羽村市,207
13228,あきる野市,118
13229,西東京市,567
13303,西多摩郡　瑞穂町,48
13305,西多摩郡　日の出町,4
13307,西多摩郡　檜原村,0
13308,西多摩郡　奥多摩町,0
13361,大島町,0
13362,利島村,0
13363,新島村,0
13364,神津島村,0
13381,三宅島　三宅村,0
13382,御蔵島村,0
13401,八丈島　八丈町,0
13402,青ヶ島村,0
13421,小笠原村,0
