id,title,count
27102,都島区,94
27103,福島区,82
27104,此花区,17
27106,西区,147
27107,港区,50
27108,大正区,28
27109,天王寺区,106
27111,浪速区,378
27113,西淀川区,57
27114,東淀川区,134
27115,東成区,72
27116,生野区,74
27117,旭区,100
27118,城東区,103
27119,阿倍野区,68
27120,住吉区,114
27121,東住吉区,66
27122,西成区,49
27123,淀川区,199
27124,鶴見区,50
27125,住之江区,55
27126,平野区,67
27127,北区,345
27128,中央区,362
27141,堺区,101
27142,中区,61
27143,東区,62
27144,西区,35
27145,南区,32
27146,北区,99
27147,美原区,6
27202,岸和田市,54
27203,豊中市,500
27204,池田市,59
27205,吹田市,536
27206,泉大津市,27
27207,高槻市,116
27208,貝塚市,13
27209,守口市,106
27210,枚方市,105
27211,茨木市,193
27212,八尾市,63
27213,泉佐野市,16
27214,富田林市,22
27215,寝屋川市,145
27216,河内長野市,33
27217,松原市,42
27218,大東市,188
27219,和泉市,53
27220,箕面市,166
27221,柏原市,28
27222,羽曳野市,70
27223,門真市,281
27224,摂津市,100
27225,高石市,14
27226,藤井寺市,28
27227,東大阪市,352
27228,泉南市,24
27229,四條畷市,123
27230,交野市,12
27231,大阪狭山市,32
27232,阪南市,12
27301,三島郡　島本町,8
27321,豊能郡　豊能町,0
27322,豊能郡　能勢町,0
27341,泉北郡　忠岡町,3
27361,泉南郡　熊取町,3
27362,泉南郡　田尻町,2
27366,泉南郡　岬町,1
27381,南河内郡　太子町,6
27382,南河内郡　河南町,7
27383,南河内郡　千早赤阪村,0
