id,title,count
14101,鶴見区,1
14102,神奈川区,1
14103,西区,567
14104,中区,907
14105,南区,1
14106,保土ケ谷区,1
14107,磯子区,581
14108,金沢区,526
14109,港北区,2
14110,戸塚区,457
14111,港南区,642
14112,旭区,558
14113,緑区,612
14114,瀬谷区,244
14115,栄区,192
14116,泉区,186
14117,青葉区,1
14118,都筑区,563
14131,川崎区,1
14132,幸区,495
14133,中原区,1
14134,高津区,1
14135,多摩区,1
14136,宮前区,863
14137,麻生区,755
14151,緑区,387
14152,中央区,1
14153,南区,1
14201,横須賀市,1
14203,平塚市,510
14204,鎌倉市,325
14205,藤沢市,1
14206,小田原市,370
14207,茅ヶ崎市,539
14208,逗子市,124
14210,三浦市,59
14211,秦野市,413
14212,厚木市,549
14213,大和市,707
14214,伊勢原市,430
14215,海老名市,256
14216,座間市,398
14217,南足柄市,50
14218,綾瀬市,79
14301,三浦郡　葉山町,35
14321,高座郡　寒川町,91
14341,中郡　大磯町,49
14342,中郡　二宮町,113
14361,足柄上郡　中井町,9
14362,足柄上郡　大井町,17
14363,足柄上郡　松田町,8
14364,足柄上郡　山北町,2
14366,足柄上郡　開成町,13
14382,足柄下郡　箱根町,13
14383,足柄下郡　真鶴町,12
14384,足柄下郡　湯河原町,73
14401,愛甲郡　愛川町,61
14402,愛甲郡　清川村,0
