id,title,count
13101,千代田区,1
13102,中央区,3
13103,港区,22
13104,新宿区,31
13105,文京区,31
13106,台東区,24
13107,墨田区,23
13108,江東区,25
13109,品川区,43
13110,目黒区,54
13111,大田区,155
13112,世田谷区,198
13113,渋谷区,31
13114,中野区,58
13115,杉並区,92
13116,豊島区,48
13117,北区,34
13118,荒川区,21
13119,板橋区,41
13120,練馬区,132
13121,足立区,88
13122,葛飾区,67
13123,江戸川区,72
13201,八王子市,98
13202,立川市,34
13203,武蔵野市,28
13204,三鷹市,41
13205,青梅市,27
13206,府中市,53
13207,昭島市,34
13208,調布市,33
13209,町田市,146
13210,小金井市,23
13211,小平市,35
13212,日野市,30
13213,東村山市,27
13214,国分寺市,32
13215,国立市,19
13218,福生市,15
13219,狛江市,17
13220,東大和市,16
13221,清瀬市,11
13222,東久留米市,19
13223,武蔵村山市,17
13224,多摩市,3
13225,稲城市,9
13227,羽村市,12
13228,あきる野市,36
13229,西東京市,41
13303,西多摩郡　瑞穂町,2
13305,西多摩郡　日の出町,1
13307,西多摩郡　檜原村,0
13308,西多摩郡　奥多摩町,1
13361,大島町,0
13362,利島村,0
13363,新島村,0
13364,神津島村,0
13381,三宅島　三宅村,0
13382,御蔵島村,0
13401,八丈島　八丈町,0
13402,青ヶ島村,0
13421,小笠原村,0
