id,title,count
12101,中央区,511
12102,花見川区,166
12103,稲毛区,170
12104,若葉区,119
12105,緑区,69
12106,美浜区,54
12202,銚子市,6
12203,市川市,274
12204,船橋市,324
12205,館山市,18
12206,木更津市,91
12207,松戸市,318
12208,野田市,136
12210,茂原市,73
12211,成田市,72
12212,佐倉市,183
12213,東金市,46
12215,旭市,26
12216,習志野市,88
12217,柏市,401
12218,勝浦市,3
12219,市原市,276
12220,流山市,123
12221,八千代市,213
12222,我孫子市,185
12223,鴨川市,2
12224,鎌ケ谷市,67
12225,君津市,30
12226,富津市,3
12227,浦安市,68
12228,四街道市,63
12229,袖ケ浦市,23
12230,八街市,63
12231,印西市,38
12232,白井市,28
12233,富里市,38
12234,南房総市,7
12235,匝瑳市,5
12236,香取市,12
12237,山武市,14
12238,いすみ市,7
12239,大網白里市,20
12322,印旛郡　酒々井町,14
12329,印旛郡　栄町,5
12342,香取郡　神崎町,0
12347,香取郡　多古町,8
12349,香取郡　東庄町,1
12403,山武郡　九十九里町,4
12409,山武郡　芝山町,3
12410,山武郡　横芝光町,1
12421,長生郡　一宮町,6
12422,長生郡　睦沢町,0
12423,長生郡　長生村,6
12424,長生郡　白子町,1
12426,長生郡　長柄町,2
12427,長生郡　長南町,1
12441,夷隅郡　大多喜町,1
12443,夷隅郡　御宿町,2
12463,安房郡　鋸南町,0
