id,title,count
27102,都島区,1
27103,福島区,6
27104,此花区,0
27106,西区,2
27107,港区,9
27108,大正区,6
27109,天王寺区,1
27111,浪速区,0
27113,西淀川区,6
27114,東淀川区,1
27115,東成区,3
27116,生野区,10
27117,旭区,6
27118,城東区,13
27119,阿倍野区,20
27120,住吉区,17
27121,東住吉区,6
27122,西成区,6
27123,淀川区,7
27124,鶴見区,7
27125,住之江区,5
27126,平野区,15
27127,北区,7
27128,中央区,1
27141,堺区,12
27142,中区,4
27143,東区,19
27144,西区,20
27145,南区,12
27146,北区,19
27147,美原区,8
27202,岸和田市,4
27203,豊中市,54
27204,池田市,12
27205,吹田市,19
27206,泉大津市,5
27207,高槻市,28
27208,貝塚市,6
27209,守口市,16
27210,枚方市,43
27211,茨木市,14
27212,八尾市,11
27213,泉佐野市,8
27214,富田林市,5
27215,寝屋川市,36
27216,河内長野市,11
27217,松原市,27
27218,大東市,29
27219,和泉市,4
27220,箕面市,30
27221,柏原市,10
27222,羽曳野市,31
27223,門真市,16
27224,摂津市,3
27225,高石市,4
27226,藤井寺市,6
27227,東大阪市,33
27228,泉南市,8
27229,四條畷市,15
27230,交野市,11
27231,大阪狭山市,4
27232,阪南市,5
27301,三島郡　島本町,1
27321,豊能郡　豊能町,0
27322,豊能郡　能勢町,0
27341,泉北郡　忠岡町,2
27361,泉南郡　熊取町,6
27362,泉南郡　田尻町,0
27366,泉南郡　岬町,3
27381,南河内郡　太子町,0
27382,南河内郡　河南町,1
27383,南河内郡　千早赤阪村,0
