id,title,count
13101,千代田区,1
13102,中央区,1
13103,港区,1
13104,新宿区,1
13105,文京区,466
13106,台東区,776
13107,墨田区,395
13108,江東区,439
13109,品川区,484
13110,目黒区,346
13111,大田区,914
13112,世田谷区,829
13113,渋谷区,1
13114,中野区,417
13115,杉並区,428
13116,豊島区,808
13117,北区,377
13118,荒川区,225
13119,板橋区,473
13120,練馬区,443
13121,足立区,526
13122,葛飾区,315
13123,江戸川区,512
13201,八王子市,543
13202,立川市,155
13203,武蔵野市,133
13204,三鷹市,141
13205,青梅市,72
13206,府中市,229
13207,昭島市,70
13208,調布市,178
13209,町田市,398
13210,小金井市,61
13211,小平市,74
13212,日野市,109
13213,東村山市,104
13214,国分寺市,50
13215,国立市,66
13218,福生市,48
13219,狛江市,48
13220,東大和市,40
13221,清瀬市,30
13222,東久留米市,77
13223,武蔵村山市,63
13224,多摩市,90
13225,稲城市,63
13227,羽村市,35
13228,あきる野市,32
13229,西東京市,164
13303,西多摩郡　瑞穂町,22
13305,西多摩郡　日の出町,2
13307,西多摩郡　檜原村,0
13308,西多摩郡　奥多摩町,0
13361,大島町,0
13362,利島村,0
13363,新島村,0
13364,神津島村,0
13381,三宅島　三宅村,0
13382,御蔵島村,0
13401,八丈島　八丈町,0
13402,青ヶ島村,0
13421,小笠原村,6
