id,title,count
12101,中央区,55
12102,花見川区,36
12103,稲毛区,24
12104,若葉区,32
12105,緑区,16
12106,美浜区,6
12202,銚子市,4
12203,市川市,82
12204,船橋市,82
12205,館山市,75
12206,木更津市,14
12207,松戸市,82
12208,野田市,42
12210,茂原市,51
12211,成田市,24
12212,佐倉市,44
12213,東金市,58
12215,旭市,23
12216,習志野市,27
12217,柏市,77
12218,勝浦市,2
12219,市原市,105
12220,流山市,39
12221,八千代市,44
12222,我孫子市,32
12223,鴨川市,10
12224,鎌ケ谷市,31
12225,君津市,6
12226,富津市,2
12227,浦安市,3
12228,四街道市,24
12229,袖ケ浦市,14
12230,八街市,37
12231,印西市,8
12232,白井市,8
12233,富里市,13
12234,南房総市,6
12235,匝瑳市,6
12236,香取市,25
12237,山武市,17
12238,いすみ市,16
12239,大網白里市,39
12322,印旛郡　酒々井町,3
12329,印旛郡　栄町,7
12342,香取郡　神崎町,1
12347,香取郡　多古町,5
12349,香取郡　東庄町,1
12403,山武郡　九十九里町,13
12409,山武郡　芝山町,2
12410,山武郡　横芝光町,8
12421,長生郡　一宮町,4
12422,長生郡　睦沢町,1
12423,長生郡　長生村,15
12424,長生郡　白子町,11
12426,長生郡　長柄町,1
12427,長生郡　長南町,1
12441,夷隅郡　大多喜町,1
12443,夷隅郡　御宿町,4
12463,安房郡　鋸南町,0
