id,title,count
12101,中央区,1
12102,花見川区,488
12103,稲毛区,476
12104,若葉区,485
12105,緑区,140
12106,美浜区,266
12202,銚子市,97
12203,市川市,991
12204,船橋市,1
12205,館山市,173
12206,木更津市,206
12207,松戸市,1
12208,野田市,134
12210,茂原市,220
12211,成田市,122
12212,佐倉市,279
12213,東金市,244
12215,旭市,84
12216,習志野市,402
12217,柏市,949
12218,勝浦市,30
12219,市原市,650
12220,流山市,292
12221,八千代市,464
12222,我孫子市,297
12223,鴨川市,60
12224,鎌ケ谷市,187
12225,君津市,57
12226,富津市,13
12227,浦安市,249
12228,四街道市,157
12229,袖ケ浦市,50
12230,八街市,119
12231,印西市,52
12232,白井市,22
12233,富里市,66
12234,南房総市,17
12235,匝瑳市,32
12236,香取市,72
12237,山武市,44
12238,いすみ市,33
12239,大網白里市,94
12322,印旛郡　酒々井町,22
12329,印旛郡　栄町,24
12342,香取郡　神崎町,0
12347,香取郡　多古町,17
12349,香取郡　東庄町,3
12403,山武郡　九十九里町,20
12409,山武郡　芝山町,3
12410,山武郡　横芝光町,29
12421,長生郡　一宮町,21
12422,長生郡　睦沢町,0
12423,長生郡　長生村,2
12424,長生郡　白子町,15
12426,長生郡　長柄町,1
12427,長生郡　長南町,0
12441,夷隅郡　大多喜町,0
12443,夷隅郡　御宿町,9
12463,安房郡　鋸南町,0
